sample_id	in_vcf	in_phenotype	matched_id	match_rule	bucket
FC30684	Y	N	FC030684	zero_pad_candidate	ambiguous
FC30685	Y	N	FC030685	zero_pad_candidate	ambiguous
FC30687	Y	N	FC030687	zero_pad_candidate	ambiguous
FC30689	Y	N	FC030689	zero_pad_candidate	ambiguous
FC30691	Y	N	FC030691	zero_pad_candidate	ambiguous
FC30692	Y	N	FC030692	zero_pad_candidate	ambiguous
FC30694	Y	N	FC030694	zero_pad_candidate	ambiguous
FC30967	Y	N	FC030967	zero_pad_candidate	ambiguous
FC31122	Y	N	FC031122	zero_pad_candidate	ambiguous
FC31408	Y	N	FC031408	zero_pad_candidate	ambiguous
FC31409	Y	N	FC031409	zero_pad_candidate	ambiguous
FC31416	Y	N	FC031416	zero_pad_candidate	ambiguous
FC31557	Y	N	FC031557	zero_pad_candidate	ambiguous
FC31571	Y	N	FC031571	zero_pad_candidate	ambiguous
FC31572	Y	N	FC031572	zero_pad_candidate	ambiguous
FC31572-3	Y	N	FC031572-3	zero_pad_candidate	ambiguous
FC31579	Y	N	FC031579	zero_pad_candidate	ambiguous
FC31592	Y	N	FC031592	zero_pad_candidate	ambiguous
FC31622	Y	N	FC031622	zero_pad_candidate	ambiguous
FC31630	Y	N	FC031630	zero_pad_candidate	ambiguous
FC31649	Y	N	FC031649	zero_pad_candidate	ambiguous
FC31665	Y	N	FC031665	zero_pad_candidate	ambiguous
FC31676	Y	N	FC031676	zero_pad_candidate	ambiguous
FC31677	Y	N	FC031677	zero_pad_candidate	ambiguous
FC31678	Y	N	FC031678	zero_pad_candidate	ambiguous
FC31683	Y	N	FC031683	zero_pad_candidate	ambiguous
FC31684	Y	N	FC031684	zero_pad_candidate	ambiguous
FC31685	Y	N	FC031685	zero_pad_candidate	ambiguous
FC31689	Y	N	FC031689	zero_pad_candidate	ambiguous
FC31697	Y	N	FC031697	zero_pad_candidate	ambiguous
FC31700	Y	N	FC031700	zero_pad_candidate	ambiguous
FC31702	Y	N	FC031702	zero_pad_candidate	ambiguous
FC31707	Y	N	FC031707	zero_pad_candidate	ambiguous
FC31709	Y	N	FC031709	zero_pad_candidate	ambiguous
FC31715	Y	N	FC031715	zero_pad_candidate	ambiguous
FC31719	Y	N	FC031719	zero_pad_candidate	ambiguous
FC31721	Y	N	FC031721	zero_pad_candidate	ambiguous
FC31731	Y	N	FC031731	zero_pad_candidate	ambiguous
FC31732	Y	N	FC031732	zero_pad_candidate	ambiguous
FC31737	Y	N	FC031737	zero_pad_candidate	ambiguous
FC31744	Y	N	FC031744	zero_pad_candidate	ambiguous
FC31745	Y	N	FC031745	zero_pad_candidate	ambiguous
FC31750	Y	N	FC031750	zero_pad_candidate	ambiguous
FC31918	Y	N	FC031918	zero_pad_candidate	ambiguous
FC31919	Y	N	FC031919	zero_pad_candidate	ambiguous
FC31921	Y	N	FC031921	zero_pad_candidate	ambiguous
FC31927	Y	N	FC031927	zero_pad_candidate	ambiguous
FC31933	Y	N	FC031933	zero_pad_candidate	ambiguous
FC31934	Y	N	FC031934	zero_pad_candidate	ambiguous
FC31935	Y	N	FC031935	zero_pad_candidate	ambiguous
FC31943	Y	N	FC031943	zero_pad_candidate	ambiguous
FC31946	Y	N	FC031946	zero_pad_candidate	ambiguous
FC31952	Y	N	FC031952	zero_pad_candidate	ambiguous
FC32033	Y	N	FC032033	zero_pad_candidate	ambiguous
FC32141	Y	N	FC032141	zero_pad_candidate	ambiguous
FC32175	Y	N	FC032175	zero_pad_candidate	ambiguous
FC32176	Y	N	FC032176	zero_pad_candidate	ambiguous
FC33123	Y	N	FC033123	zero_pad_candidate	ambiguous
FC33243	Y	N	FC033243	zero_pad_candidate	ambiguous
FC33243-1	Y	N	FC033243-1	zero_pad_candidate	ambiguous
FC33243-2	Y	N	FC033243-2	zero_pad_candidate	ambiguous
FC3548	Y	N	FC003548	zero_pad_candidate	ambiguous
FC3609	Y	N	FC003609	zero_pad_candidate	ambiguous
FC3654-1	Y	N	FC003654-1	zero_pad_candidate	ambiguous
FC3654N	Y	N	FC003654N	zero_pad_candidate	ambiguous
FC3659	Y	N	FC003659	zero_pad_candidate	ambiguous
FC3981	Y	N	FC003981	zero_pad_candidate	ambiguous
FC4002B	Y	N	FC004002B	zero_pad_candidate	ambiguous
FC4002N	Y	N	FC004002N	zero_pad_candidate	ambiguous
FC4007A	Y	N	FC004007A	zero_pad_candidate	ambiguous
FC4007B	Y	N	FC004007B	zero_pad_candidate	ambiguous
HS4N5681	Y	N		none	vcf_only
HS5N3417A	Y	N		none	vcf_only
Hallmark	Y	N		none	vcf_only
Hutcheson	Y	N		none	vcf_only
IA1008	Y	N		none	vcf_only
IA2007	Y	N		none	vcf_only
IA2022	Y	N		none	vcf_only
IA2050	Y	N		none	vcf_only
IA3003	Y	N		none	vcf_only
IA3004	Y	N		none	vcf_only
IA3005	Y	N		none	vcf_only
IA3010	Y	N		none	vcf_only
King	Y	N		none	vcf_only
LG01N4758	Y	N		none	vcf_only
LG91N7350R	Y	N		none	vcf_only
LS92-4173	Y	N		none	vcf_only
Medallion	Y	N		none	vcf_only
Minsoy	Y	N		none	vcf_only
Noir	Y	N		none	vcf_only
OAC-Salem	Y	N		none	vcf_only
OAC-Sparta	Y	N		none	vcf_only
OAC-Stratford	Y	N		none	vcf_only
OAC-Thames	Y	N		none	vcf_only
OHS305	Y	N		none	vcf_only
P5M19N2N9N2	Y	N		none	vcf_only
PI019986	N	Y	PI19986	zero_pad_candidate	ambiguous
PI030594	N	Y	PI30594	zero_pad_candidate	ambiguous
PI030599	N	Y	PI30599	zero_pad_candidate	ambiguous
PI030600	N	Y	PI30600	zero_pad_candidate	ambiguous
PI036653	N	Y	PI36653	zero_pad_candidate	ambiguous
PI036906	N	Y	PI36906	zero_pad_candidate	ambiguous
PI047131	N	Y	PI47131	zero_pad_candidate	ambiguous
PI054583	N	Y	PI54583	zero_pad_candidate	ambiguous
PI054591	N	Y	PI54591	zero_pad_candidate	ambiguous
PI054592	N	Y	PI54592	zero_pad_candidate	ambiguous
PI054600	N	Y	PI54600	zero_pad_candidate	ambiguous
PI054604	N	Y	PI54604	zero_pad_candidate	ambiguous
PI054606-1	N	Y	PI54606-1	zero_pad_candidate	ambiguous
PI054606-2	N	Y	PI54606-2	zero_pad_candidate	ambiguous
PI054607	N	Y	PI54607	zero_pad_candidate	ambiguous
PI054608	N	Y	PI54608	zero_pad_candidate	ambiguous
PI054608-1	N	Y	PI54608-1	zero_pad_candidate	ambiguous
PI054608-2	N	Y	PI54608-2	zero_pad_candidate	ambiguous
PI054608-3	N	Y	PI54608-3	zero_pad_candidate	ambiguous
PI054608-4	N	Y	PI54608-4	zero_pad_candidate	ambiguous
PI054608-5	N	Y	PI54608-5	zero_pad_candidate	ambiguous
PI054609	N	Y	PI54609	zero_pad_candidate	ambiguous
PI054610	N	Y	PI54610	zero_pad_candidate	ambiguous
PI054610-1	N	Y	PI54610-1	zero_pad_candidate	ambiguous
PI054610-4	N	Y	PI54610-4	zero_pad_candidate	ambiguous
PI054613	N	Y	PI54613	zero_pad_candidate	ambiguous
PI054614	N	Y	PI54614	zero_pad_candidate	ambiguous
PI054615	N	Y	PI54615	zero_pad_candidate	ambiguous
PI054615-1	N	Y	PI54615-1	zero_pad_candidate	ambiguous
PI054615-2	N	Y	PI54615-2	zero_pad_candidate	ambiguous
PI054617	N	Y	PI54617	zero_pad_candidate	ambiguous
PI054618	N	Y	PI54618	zero_pad_candidate	ambiguous
PI054619	N	Y	PI54619	zero_pad_candidate	ambiguous
PI054620	N	Y	PI54620	zero_pad_candidate	ambiguous
PI054620-2	N	Y	PI54620-2	zero_pad_candidate	ambiguous
PI054809	N	Y	PI54809	zero_pad_candidate	ambiguous
PI054818	N	Y	PI54818	zero_pad_candidate	ambiguous
PI054834	N	Y	PI54834	zero_pad_candidate	ambiguous
PI054853	N	Y	PI54853	zero_pad_candidate	ambiguous
PI054854	N	Y	PI54854	zero_pad_candidate	ambiguous
PI054855	N	Y	PI54855	zero_pad_candidate	ambiguous
PI054857	N	Y	PI54857	zero_pad_candidate	ambiguous
PI054859	N	Y	PI54859	zero_pad_candidate	ambiguous
PI054862	N	Y	PI54862	zero_pad_candidate	ambiguous
PI054865	N	Y	PI54865	zero_pad_candidate	ambiguous
PI054873	N	Y	PI54873	zero_pad_candidate	ambiguous
PI055089	N	Y	PI55089	zero_pad_candidate	ambiguous
PI055089-1	N	Y	PI55089-1	zero_pad_candidate	ambiguous
PI055887	N	Y	PI55887	zero_pad_candidate	ambiguous
PI056563	N	Y	PI56563	zero_pad_candidate	ambiguous
PI057334	N	Y	PI57334	zero_pad_candidate	ambiguous
PI058955	N	Y	PI58955	zero_pad_candidate	ambiguous
PI059845	N	Y	PI59845	zero_pad_candidate	ambiguous
PI059849	N	Y	PI59849	zero_pad_candidate	ambiguous
PI060269	N	Y	PI60269	zero_pad_candidate	ambiguous
PI060269-2	N	Y	PI60269-2	zero_pad_candidate	ambiguous
PI060272	N	Y	PI60272	zero_pad_candidate	ambiguous
PI060273	N	Y	PI60273	zero_pad_candidate	ambiguous
PI060279	N	Y	PI60279	zero_pad_candidate	ambiguous
PI060296	N	Y	PI60296	zero_pad_candidate	ambiguous
PI060296-1	N	Y	PI60296-1	zero_pad_candidate	ambiguous
PI060296-2	N	Y	PI60296-2	zero_pad_candidate	ambiguous
PI060970	N	Y	PI60970	zero_pad_candidate	ambiguous
PI061940	N	Y	PI61940	zero_pad_candidate	ambiguous
PI061944	N	Y	PI61944	zero_pad_candidate	ambiguous
PI061947	N	Y	PI61947	zero_pad_candidate	ambiguous
PI062199	N	Y	PI62199	zero_pad_candidate	ambiguous
PI062202	N	Y	PI62202	zero_pad_candidate	ambiguous
PI062202-2	N	Y	PI62202-2	zero_pad_candidate	ambiguous
PI062203	N	Y	PI62203	zero_pad_candidate	ambiguous
PI062204	N	Y	PI62204	zero_pad_candidate	ambiguous
PI062248	N	Y	PI62248	zero_pad_candidate	ambiguous
PI062483	N	Y	PI62483	zero_pad_candidate	ambiguous
PI063271	N	Y	PI63271	zero_pad_candidate	ambiguous
PI063468	N	Y	PI63468	zero_pad_candidate	ambiguous
PI063945	N	Y	PI63945	zero_pad_candidate	ambiguous
PI064698	N	Y	PI64698	zero_pad_candidate	ambiguous
PI064747	N	Y	PI64747	zero_pad_candidate	ambiguous
PI065338	N	Y	PI65338	zero_pad_candidate	ambiguous
PI065341	N	Y	PI65341	zero_pad_candidate	ambiguous
PI065342	N	Y	PI65342	zero_pad_candidate	ambiguous
PI065346	N	Y	PI65346	zero_pad_candidate	ambiguous
PI065354	N	Y	PI65354	zero_pad_candidate	ambiguous
PI065379	N	Y	PI65379	zero_pad_candidate	ambiguous
PI065388	N	Y	PI65388	zero_pad_candidate	ambiguous
PI068011	N	Y	PI68011	zero_pad_candidate	ambiguous
PI068398	N	Y	PI68398	zero_pad_candidate	ambiguous
PI068410	N	Y	PI68410	zero_pad_candidate	ambiguous
PI068421	N	Y	PI68421	zero_pad_candidate	ambiguous
PI068423	N	Y	PI68423	zero_pad_candidate	ambiguous
PI068427	N	Y	PI68427	zero_pad_candidate	ambiguous
PI068430	N	Y	PI68430	zero_pad_candidate	ambiguous
PI068436	N	Y	PI68436	zero_pad_candidate	ambiguous
PI068439	N	Y	PI68439	zero_pad_candidate	ambiguous
PI068443	N	Y	PI68443	zero_pad_candidate	ambiguous
PI068446	N	Y	PI68446	zero_pad_candidate	ambiguous
PI068448	N	Y	PI68448	zero_pad_candidate	ambiguous
PI068449	N	Y	PI68449	zero_pad_candidate	ambiguous
PI068454	N	Y	PI68454	zero_pad_candidate	ambiguous
PI068455	N	Y	PI68455	zero_pad_candidate	ambiguous
PI068457	N	Y	PI68457	zero_pad_candidate	ambiguous
PI068457-1	N	Y	PI68457-1	zero_pad_candidate	ambiguous
PI068461	N	Y	PI68461	zero_pad_candidate	ambiguous
PI068461-1	N	Y	PI68461-1	zero_pad_candidate	ambiguous
PI068465	N	Y	PI68465	zero_pad_candidate	ambiguous
PI068465-1	N	Y	PI68465-1	zero_pad_candidate	ambiguous
PI068466	N	Y	PI68466	zero_pad_candidate	ambiguous
PI068470	N	Y	PI68470	zero_pad_candidate	ambiguous
PI068474	N	Y	PI68474	zero_pad_candidate	ambiguous
PI068474-2	N	Y	PI68474-2	zero_pad_candidate	ambiguous
PI068475	N	Y	PI68475	zero_pad_candidate	ambiguous
PI068475-1	N	Y	PI68475-1	zero_pad_candidate	ambiguous
PI068479	N	Y	PI68479	zero_pad_candidate	ambiguous
PI068479-1	N	Y	PI68479-1	zero_pad_candidate	ambiguous
PI068480	N	Y	PI68480	zero_pad_candidate	ambiguous
PI068481	N	Y	PI68481	zero_pad_candidate	ambiguous
PI068483	N	Y	PI68483	zero_pad_candidate	ambiguous
PI068484-1	N	Y	PI68484-1	zero_pad_candidate	ambiguous
PI068484-4	N	Y	PI68484-4	zero_pad_candidate	ambiguous
PI068488	N	Y	PI68488	zero_pad_candidate	ambiguous
PI068494	N	Y	PI68494	zero_pad_candidate	ambiguous
PI068500	N	Y	PI68500	zero_pad_candidate	ambiguous
PI068503	N	Y	PI68503	zero_pad_candidate	ambiguous
PI068508	N	Y	PI68508	zero_pad_candidate	ambiguous
PI068516	N	Y	PI68516	zero_pad_candidate	ambiguous
PI068521	N	Y	PI68521	zero_pad_candidate	ambiguous
PI068521-1	N	Y	PI68521-1	zero_pad_candidate	ambiguous
PI068522	N	Y	PI68522	zero_pad_candidate	ambiguous
PI068523	N	Y	PI68523	zero_pad_candidate	ambiguous
PI068526	N	Y	PI68526	zero_pad_candidate	ambiguous
PI068528	N	Y	PI68528	zero_pad_candidate	ambiguous
PI068530	N	Y	PI68530	zero_pad_candidate	ambiguous
PI068530-2	N	Y	PI68530-2	zero_pad_candidate	ambiguous
PI068533-1	N	Y	PI68533-1	zero_pad_candidate	ambiguous
PI068533-2	N	Y	PI68533-2	zero_pad_candidate	ambiguous
PI068535	N	Y	PI68535	zero_pad_candidate	ambiguous
PI068543	N	Y	PI68543	zero_pad_candidate	ambiguous
PI068551-2	N	Y	PI68551-2	zero_pad_candidate	ambiguous
PI068551-3	N	Y	PI68551-3	zero_pad_candidate	ambiguous
PI068554	N	Y	PI68554	zero_pad_candidate	ambiguous
PI068555	N	Y	PI68555	zero_pad_candidate	ambiguous
PI068560	N	Y	PI68560	zero_pad_candidate	ambiguous
PI068562	N	Y	PI68562	zero_pad_candidate	ambiguous
PI068564	N	Y	PI68564	zero_pad_candidate	ambiguous
PI068572	N	Y	PI68572	zero_pad_candidate	ambiguous
PI068576	N	Y	PI68576	zero_pad_candidate	ambiguous
PI068585	N	Y	PI68585	zero_pad_candidate	ambiguous
PI068586	N	Y	PI68586	zero_pad_candidate	ambiguous
PI068587	N	Y	PI68587	zero_pad_candidate	ambiguous
PI068598	N	Y	PI68598	zero_pad_candidate	ambiguous
PI068599	N	Y	PI68599	zero_pad_candidate	ambiguous
PI068600	N	Y	PI68600	zero_pad_candidate	ambiguous
PI068604-1	N	Y	PI68604-1	zero_pad_candidate	ambiguous
PI068604-2	N	Y	PI68604-2	zero_pad_candidate	ambiguous
PI068609A	N	Y	PI68609A	zero_pad_candidate	ambiguous
PI068609B	N	Y	PI68609B	zero_pad_candidate	ambiguous
PI068610	N	Y	PI68610	zero_pad_candidate	ambiguous
PI068621	N	Y	PI68621	zero_pad_candidate	ambiguous
PI068622	N	Y	PI68622	zero_pad_candidate	ambiguous
PI068627	N	Y	PI68627	zero_pad_candidate	ambiguous
PI068629	N	Y	PI68629	zero_pad_candidate	ambiguous
PI068639	N	Y	PI68639	zero_pad_candidate	ambiguous
PI068642	N	Y	PI68642	zero_pad_candidate	ambiguous
PI068644	N	Y	PI68644	zero_pad_candidate	ambiguous
PI068648	N	Y	PI68648	zero_pad_candidate	ambiguous
PI068655	N	Y	PI68655	zero_pad_candidate	ambiguous
PI068658	N	Y	PI68658	zero_pad_candidate	ambiguous
PI068661	N	Y	PI68661	zero_pad_candidate	ambiguous
PI068663	N	Y	PI68663	zero_pad_candidate	ambiguous
PI068666	N	Y	PI68666	zero_pad_candidate	ambiguous
PI068670-1	N	Y	PI68670-1	zero_pad_candidate	ambiguous
PI068670-2	N	Y	PI68670-2	zero_pad_candidate	ambiguous
PI068671	N	Y	PI68671	zero_pad_candidate	ambiguous
PI068676	N	Y	PI68676	zero_pad_candidate	ambiguous
PI068679	N	Y	PI68679	zero_pad_candidate	ambiguous
PI068679-2	N	Y	PI68679-2	zero_pad_candidate	ambiguous
PI068680	N	Y	PI68680	zero_pad_candidate	ambiguous
PI068680-2	N	Y	PI68680-2	zero_pad_candidate	ambiguous
PI068683	N	Y	PI68683	zero_pad_candidate	ambiguous
PI068685	N	Y	PI68685	zero_pad_candidate	ambiguous
PI068687	N	Y	PI68687	zero_pad_candidate	ambiguous
PI068692	N	Y	PI68692	zero_pad_candidate	ambiguous
PI068692-2	N	Y	PI68692-2	zero_pad_candidate	ambiguous
PI068694	N	Y	PI68694	zero_pad_candidate	ambiguous
PI068696	N	Y	PI68696	zero_pad_candidate	ambiguous
PI068701	N	Y	PI68701	zero_pad_candidate	ambiguous
PI068704	N	Y	PI68704	zero_pad_candidate	ambiguous
PI068706	N	Y	PI68706	zero_pad_candidate	ambiguous
PI068708	N	Y	PI68708	zero_pad_candidate	ambiguous
PI068709	N	Y	PI68709	zero_pad_candidate	ambiguous
PI068710	N	Y	PI68710	zero_pad_candidate	ambiguous
PI068712	N	Y	PI68712	zero_pad_candidate	ambiguous
PI068713	N	Y	PI68713	zero_pad_candidate	ambiguous
PI068715	N	Y	PI68715	zero_pad_candidate	ambiguous
PI068718	N	Y	PI68718	zero_pad_candidate	ambiguous
PI068722	N	Y	PI68722	zero_pad_candidate	ambiguous
PI068725	N	Y	PI68725	zero_pad_candidate	ambiguous
PI068728	N	Y	PI68728	zero_pad_candidate	ambiguous
PI068729	N	Y	PI68729	zero_pad_candidate	ambiguous
PI068731	N	Y	PI68731	zero_pad_candidate	ambiguous
PI068732	N	Y	PI68732	zero_pad_candidate	ambiguous
PI068732-1	N	Y	PI68732-1	zero_pad_candidate	ambiguous
PI068736	N	Y	PI68736	zero_pad_candidate	ambiguous
PI068741	N	Y	PI68741	zero_pad_candidate	ambiguous
PI068746	N	Y	PI68746	zero_pad_candidate	ambiguous
PI068748	N	Y	PI68748	zero_pad_candidate	ambiguous
PI068748-1	N	Y	PI68748-1	zero_pad_candidate	ambiguous
PI068756	N	Y	PI68756	zero_pad_candidate	ambiguous
PI068759	N	Y	PI68759	zero_pad_candidate	ambiguous
PI068761	N	Y	PI68761	zero_pad_candidate	ambiguous
PI068761-3	N	Y	PI68761-3	zero_pad_candidate	ambiguous
PI068762	N	Y	PI68762	zero_pad_candidate	ambiguous
PI068763	N	Y	PI68763	zero_pad_candidate	ambiguous
PI068765	N	Y	PI68765	zero_pad_candidate	ambiguous
PI068768	N	Y	PI68768	zero_pad_candidate	ambiguous
PI068770	N	Y	PI68770	zero_pad_candidate	ambiguous
PI068778	N	Y	PI68778	zero_pad_candidate	ambiguous
PI068788	N	Y	PI68788	zero_pad_candidate	ambiguous
PI068795	N	Y	PI68795	zero_pad_candidate	ambiguous
PI068806	N	Y	PI68806	zero_pad_candidate	ambiguous
PI068815	N	Y	PI68815	zero_pad_candidate	ambiguous
PI069500	N	Y	PI69500	zero_pad_candidate	ambiguous
PI069501	N	Y	PI69501	zero_pad_candidate	ambiguous
PI069503	N	Y	PI69503	zero_pad_candidate	ambiguous
PI069507	N	Y	PI69507	zero_pad_candidate	ambiguous
PI069507-1	N	Y	PI69507-1	zero_pad_candidate	ambiguous
PI069512	N	Y	PI69512	zero_pad_candidate	ambiguous
PI069515	N	Y	PI69515	zero_pad_candidate	ambiguous
